Gift ID,Holiday,Gender,Age,Relationship,Budget,Max Budget,Associated Hobbies,Gift Title,Gift Summary,Rating,Link
1,Anniversary,Female,60-80,"Partner, Wife, Girlfriend, Friend",$60,$100,"Photography, Picture, Memory","Lenox Portrait Gallery 50th Anniversary Luxury Frame, 5 by 7-Inch - 826478","This ivory china frame celebrates 50 years of marriage. Sculptured with a swirl design and trimmed in gold this ivory china frame speaks of timeless love and elegance, while the inscription, ""50th Anniversary"" appears below the picture to mark this momentous milestone.",4.7,https://www.amazon.com/Lenox-Portrait-Gallery-Anniversary-Luxury/dp/B007BSERVW/ref=gcx_llm_m_-gcg9k6_p_0_1?pd_rd_i=B007BSERVW&pd_rd_w=GDPFm&content-id=amzn1.sym.08ce0d8b-8871-4b72-9e15-3fd4f00a4d56&pf_rd_p=08ce0d8b-8871-4b72-9e15-3fd4f00a4d56&pf_rd_r=0RHC163GCC92F9D94EXP&pd_rd_wg=3GM85&pd_rd_r=5d9534fb-1dfc-4ed7-b7f6-db3b09080fae&th=1
2,Anniversary,Female,20-90,"Partner, Girlfriend, Wife, Friend",$30,$90,"Jewelry, Everyday, Watch, Bangle, Accessory, Fashion","Anne Klein Women's Premium Crystal Accented Bangle Watch Set, AK/2245","Give the gift of timeless elegance with the Anne Klein Silver-Tone Bracelet Watch. This sophisticated timepiece features a sleek round dial accented by shimmering Swarovski crystal markers, adding a touch of glamour to any outfit. The silver-tone case and bracelet provide a chic, modern look that transitions effortlessly from day to night. With its reliable Japanese quartz movement, this watch ensures accurate timekeeping, making it as functional as it is stylish. The adjustable bracelet and easy-to-read dial make it a perfect accessory for everyday wear or special occasions. Ideal for fashion-conscious women who appreciate both style and practicality, this Anne Klein watch is a perfect gift for birthdays, anniversaries, or any special occasion.",4.6,https://www.amazon.com/Anne-Klein-AK-2245RTST-Silver-Tone/dp/B0193XJZ1Y/ref=gcx_llm_m_-gcg9k6_p_3_1?pd_rd_i=B0193XJZ1Y&pd_rd_w=GDPFm&content-id=amzn1.sym.08ce0d8b-8871-4b72-9e15-3fd4f00a4d56&pf_rd_p=08ce0d8b-8871-4b72-9e15-3fd4f00a4d56&pf_rd_r=0RHC163GCC92F9D94EXP&pd_rd_wg=3GM85&pd_rd_r=5d9534fb-1dfc-4ed7-b7f6-db3b09080fae&th=1#technicalSpecifications_feature_div
3,Anniversary,Female,20-90,"Partner, Girlfriend, Wife, Friend",$100,$200,"Jewelry, Everyday, Necklace, Accessory, Fashion","Amazon Essentials Diamond 3 Stone Pendant Necklace (1/4 cttw), 18"" (previously Amazon Collection)","Celebrate a special bond with this stunning Sterling Silver Diamond Heart Pendant Necklace. Delicately crafted in sterling silver, the heart-shaped pendant sparkles with a genuine diamond at its center, symbolizing love, elegance, and beauty. The sleek and timeless design makes it perfect for any occasion, whether it’s a romantic gesture, a birthday, or an anniversary. This necklace features a fine sterling silver chain, which complements the pendant’s polished shine, adding an extra touch of sophistication. Its lightweight, graceful design is ideal for daily wear or as a standout accessory for evening events. Gift this timeless piece to someone special and show how much they mean to you with a symbol that lasts forever.",4.5,https://www.amazon.com/Sterling-Silver-Diamond-Pendant-Necklace/dp/B008ZV9QOM/ref=gcx_llm_m_-gcg9k6_p_5_1?pd_rd_i=B008ZV9QOM&pd_rd_w=vhgFC&content-id=amzn1.sym.08ce0d8b-8871-4b72-9e15-3fd4f00a4d56&pf_rd_p=08ce0d8b-8871-4b72-9e15-3fd4f00a4d56&pf_rd_r=1J4PK93C6112MPHCHDQX&pd_rd_wg=F8Rd6&pd_rd_r=f6d28527-ca2d-4a61-93ec-b2d2c3fec921&th=1
4,Anniversary,"Male, Female",20-90,"Partner, Friend, Husband, Wife, Boyfriend, Girlfriend",$15,$40,"Everyday, Technology, Gadgets","Gifts for Men Women,Birthday Gifts,Cell Phone Stand with Wireless Bluetooth Speaker, Punchy Bass & HD Stereo Sound Speaker for Home & Outdoors Compatible with iPhone/ipad/Samsung-Black","Elevate any adventure with this Portable Wireless Bluetooth Speaker, designed for both powerful sound and durability. Whether you're at the beach, camping, or just lounging in your backyard, this speaker delivers crisp audio and deep bass, creating the perfect soundtrack for any outdoor activity. Its wireless Bluetooth connectivity allows for seamless pairing with smartphones, tablets, or any Bluetooth-enabled device, offering a hassle-free, hands-free experience. Built to withstand the elements, this speaker is water-resistant, making it ideal for poolside parties or rainy day hikes. Compact yet powerful, it's easily portable and features a long-lasting battery, ensuring uninterrupted music wherever you go. This speaker is a great gift for music lovers, outdoor enthusiasts, or anyone who enjoys high-quality sound on the move.",4.6,https://www.amazon.com/Wireless-Bluetooth-Speaker-Outdoor-Compatible/dp/B0BP27Q4V2/ref=gcx_llm_m_-gcg9k6_p_25_1?pd_rd_i=B0BP27Q4V2&pd_rd_w=vhgFC&content-id=amzn1.sym.08ce0d8b-8871-4b72-9e15-3fd4f00a4d56&pf_rd_p=08ce0d8b-8871-4b72-9e15-3fd4f00a4d56&pf_rd_r=1J4PK93C6112MPHCHDQX&pd_rd_wg=F8Rd6&pd_rd_r=f6d28527-ca2d-4a61-93ec-b2d2c3fec921&th=1
5,Christmas,"Male, Female",10-80,"Friend, Mother, Father, Son, Daughter, Partner",$120,$250,"Everyday, Technology, Gadgets, Music, Entertainment","Beats Studio Buds - True Wireless Noise Cancelling Earbuds - Compatible with Apple & Android, Built-in Microphone, IPX4 Rating, Sweat Resistant Earphones, Class 1 Bluetooth Headphones - Black","Immerse yourself in superior sound quality with the Beats Studio Buds, designed for music lovers who crave powerful performance and sleek design. These true wireless earbuds feature Active Noise Cancelling (ANC) technology, which blocks out external noise, allowing for an uninterrupted listening experience. Whether you're commuting, working out, or relaxing, the Beats Studio Buds provide crystal-clear sound and deep bass to enhance your favorite tunes. With up to 8 hours of battery life on a single charge, plus an additional 16 hours from the pocket-sized charging case, these earbuds keep the music going all day. They’re sweat and water-resistant, making them ideal for workouts or outdoor activities. Effortlessly connect to your device via Bluetooth, and with built-in controls, you can easily manage your calls, music, and volume. These sleek, comfortable earbuds make the perfect gift for audiophiles, fitness enthusiasts, or anyone who enjoys top-tier sound quality in a portable package.",4.3,https://www.amazon.com/Beats-Studio-Cancelling-Earbuds-Built-Bluetooth-Headphones/dp/B096SV8SJG/ref=gcx_llm_m_-gcg9k6_p_38_1?pd_rd_i=B096SV8SJG&pd_rd_w=vhgFC&content-id=amzn1.sym.08ce0d8b-8871-4b72-9e15-3fd4f00a4d56&pf_rd_p=08ce0d8b-8871-4b72-9e15-3fd4f00a4d56&pf_rd_r=1J4PK93C6112MPHCHDQX&pd_rd_wg=F8Rd6&pd_rd_r=f6d28527-ca2d-4a61-93ec-b2d2c3fec921
6,Anniversary,Female,15-80,"Wife, Girlfriend, Partner, Friend",$10,$35,"Spa, Self-care, stress relief, Beauty","Essential Oils Set - Top 6 Blends for Diffusers, Home Care, Candle Making Scents, Fragrance, Aromatherapy, Humidifiers, Gifts - Peppermint, Tea Tree, Lavender, Eucalyptus, Lemongrass, Orange (10mL)","Transform any space into a soothing retreat with the Lagunamoon Essential Oil Diffuser and Humidifier. Perfect for creating a calming atmosphere, this diffuser uses ultrasonic technology to disperse a fine mist of your favorite essential oils, promoting relaxation, better sleep, and a stress-free environment. With its sleek, modern design, it fits seamlessly into any home, office, or yoga space. This multifunctional device also acts as a humidifier, adding moisture to the air to combat dryness, making it ideal for enhancing comfort in any season. The diffuser features adjustable mist modes and optional LED lighting, allowing you to customize your aromatherapy experience. This kit is a perfect gift for anyone seeking to elevate their wellness routine, whether for stress relief, meditation, or simply enhancing their living space with delightful scents.",4.5,https://www.amazon.com/Lagunamoon-Essential-Diffuser-Humidifier-Aromatherapy/dp/B06XRLR9RQ/ref=gcx_llm_m_-gcg9k6_p_52_1?pd_rd_i=B06XRLR9RQ&pd_rd_w=vhgFC&content-id=amzn1.sym.08ce0d8b-8871-4b72-9e15-3fd4f00a4d56&pf_rd_p=08ce0d8b-8871-4b72-9e15-3fd4f00a4d56&pf_rd_r=1J4PK93C6112MPHCHDQX&pd_rd_wg=F8Rd6&pd_rd_r=f6d28527-ca2d-4a61-93ec-b2d2c3fec921
7,Christmas,"Male, Female",15-90,"Daughter, Mother, Friend, Son",$60,$110,"Photography, Picture, Memory",Fujifilm Instax Mini 40 Instant Camera,"Capture life’s special moments instantly with the Fujifilm Instax Mini 11 Instant Camera. This fun and easy-to-use camera prints your memories in seconds, creating beautiful, credit-card-sized photos that are perfect for sharing or displaying. Featuring a built-in selfie mode and automatic exposure, it ensures perfectly lit photos in any setting, making it ideal for capturing spontaneous moments with friends and family. With its compact and stylish design, the Instax Mini 11 is lightweight and portable, perfect for adventures or everyday use. Available in a variety of fun colors, it’s a great gift for photography enthusiasts or anyone looking to add a bit of nostalgia to their picture-taking experience. Whether for birthdays, holidays, or special events, this camera provides a fun, creative way to preserve memories.",4.6,https://www.amazon.com/Fujifilm-Instax-Mini-Instant-Camera/dp/B091D8C7RC/ref=gcx_llm_m_-gcg9k6_p_100_1?pd_rd_i=B091D8C7RC&pd_rd_w=vhgFC&content-id=amzn1.sym.08ce0d8b-8871-4b72-9e15-3fd4f00a4d56&pf_rd_p=08ce0d8b-8871-4b72-9e15-3fd4f00a4d56&pf_rd_r=1J4PK93C6112MPHCHDQX&pd_rd_wg=F8Rd6&pd_rd_r=f6d28527-ca2d-4a61-93ec-b2d2c3fec921&th=1
8,Anniversary,"Male, Female",20-50,"Partner, Wife, Husband, Girlfriend, Boyfriend, Friend",$10,$20,"Disney, Entertainment, Books, Cooking","The Unofficial Disney Parks Cookbook: From Delicious Dole Whip to Tasty Mickey Pretzels, 100 Magical Disney-Inspired Recipes (Unofficial Cookbook Gift Series) Hardcover
","Bring the magic of Disney to your kitchen with The Unofficial Disney Parks Cookbook, a must-have for Disney fans and food lovers alike. This delightful cookbook features 100 recipes inspired by iconic dishes from Disney Parks, allowing you to recreate the magic at home. From classic treats like Dole Whip and Mickey-shaped beignets to savory favorites like turkey legs and corn dogs, this cookbook is packed with dishes that will transport you to the happiest place on Earth. Whether you're a Disney enthusiast or looking to add some fun to your meals, this book makes a perfect gift for anyone who loves Disney or enjoys experimenting in the kitchen. Ideal for family gatherings, themed parties, or simply indulging in nostalgic flavors, this cookbook brings Disney's culinary magic to life with easy-to-follow recipes that anyone can enjoy.

",4.8,https://www.amazon.com/Unofficial-Disney-Parks-Cookbook-Disney-Inspired/dp/1507214510/ref=gcx_llm_m_-gcg9k6_p_197_1?pd_rd_i=1507214510&pd_rd_w=vhgFC&content-id=amzn1.sym.08ce0d8b-8871-4b72-9e15-3fd4f00a4d56&pf_rd_p=08ce0d8b-8871-4b72-9e15-3fd4f00a4d56&pf_rd_r=1J4PK93C6112MPHCHDQX&pd_rd_wg=F8Rd6&pd_rd_r=f6d28527-ca2d-4a61-93ec-b2d2c3fec921
9,Anniversary,Male,15-65,"Partner, Friend, Boyfriend, Husband",$140,$300,"Sports, Athletics, Games, Active","SKLZ Pro Mini Hoop Basketball System with Adjustable-Height Pole and 7-Inch Ball, HP08-000","Bring the excitement of the court to your backyard or driveway with the SKLZ Pro Mini Basketball Hoop System. Designed for both indoor and outdoor play, this adjustable-height hoop system is perfect for players of all ages and skill levels. The durable, shatterproof backboard and 7-inch mini basketball make it a fun and safe way to practice shots or play friendly games with friends and family. The adjustable pole allows the hoop to be set between 3.5 and 7 feet, making it versatile for different player heights and spaces. With a sturdy, weighted base, the hoop stays secure, whether you're practicing layups or slam dunks. This basketball system is a great gift for sports enthusiasts, kids, or anyone looking to stay active while having fun. Perfect for birthdays, holidays, or any occasion, it’s a great addition to any home.",4.3,https://www.amazon.com/SKLZ-Basketball-System-Adjustable-Height-7-Inch/dp/B002MAF47A/ref=gcx_llm_m_-gcg9k6_p_236_1?pd_rd_i=B002MAF47A&pd_rd_w=vhgFC&content-id=amzn1.sym.08ce0d8b-8871-4b72-9e15-3fd4f00a4d56&pf_rd_p=08ce0d8b-8871-4b72-9e15-3fd4f00a4d56&pf_rd_r=1J4PK93C6112MPHCHDQX&pd_rd_wg=F8Rd6&pd_rd_r=f6d28527-ca2d-4a61-93ec-b2d2c3fec921
10,Anniversary,"Female, Male",20-60,"Partner, Wife, Husband, Girlfriend, Boyfriend, Friend",$14,$25,"Scents, Candle, Home","TEEZWONDER Anniversary Wedding, Christmas, Valentines Day, Birthday Gifts for Him, Her, Romantic Gifts for Wife, Girlfriend, Couples Gifts for Boyfriend, Husband, Vanilla Lavender Scented Candle 10oz","Relax scented candle, decoration for home, comfort, unique anniversary gift, vegan candle, romantic couples gifts, surprise for partner, lavender scented.",4.7,https://www.amazon.com/Anniversary-Birthday-Romantic-Girlfriend-Boyfriend/dp/B0BPX45TD9/ref=sr_1_8?dib=eyJ2IjoiMSJ9.Ryx4ok_qucnKaVKzvOOh30VyZnTMhCJuRJty8WyBI5dIOX2E86QgSXl-K3DDmraAbifxGwj9ZfZFIGJSK5yKK_idIDu61x0-CbeX_77G210PjssNcmSxfwTqtvXFWrwFSQbf0o9kR9lg7eHmpxH9MJv1FapP6vKO2WX5-Ht4iflLaHXS18GzS5ml726APR8mdtnT3mg-9kkGlr0dLAz1akorOk1zyigkz_3KjMW3Gr7m2wSATKuXq9JS1wvuwaJ2I8S5OUKnG-CmwTB1UCcdPBBbHwHkgRkmqRMI4ncc0M4.xy7RYC88w6g-s9EACcYUSF-VF5ByBdE_ZttxD_E7B7k&dib_tag=se&keywords=christmas%2Bgifts%2Bfor%2Bwife&qid=1727211509&sr=8-8&th=1
